,Name,Games Played,Points,Age,Birth_Place,Birthdate,Collage,Experience,Height,Position,Team,Weight,BMI
29,Anthony Davis,68,1656,22.0,us,1993,University of Kentucky,2,205.0,PF,NOH,113.85,27.09101725
30,Anthony Morrow,74,790,30.0,us,1985,Georgia Institute of Technology,6,192.5,SG,OKC,94.5,25.50177096
32,Archie Goodwin,41,231,21.0,us,1994,University of Kentucky,1,192.5,SG,PHO,90.0,24.28740091
33,Arinze Onuaku,6,27,28.0,us,1987,Syracuse University,1,202.5,C,MIN,114.75,27.98353909
34,Aron Baynes,70,461,29.0,nz,1986,Washington State University,2,205.0,C,SAS,117.0,27.84057109
35,Arron Afflalo,78,1035,30.0,us,1985,"University of California, Los Angeles",7,192.5,SG,POR,94.5,25.50177096
36,Austin Daye,34,129,27.0,us,1988,Gonzaga University,5,207.5,SF,SAS,99.0,22.99317753
37,Austin Rivers,76,530,23.0,us,1992,Duke University,2,190.0,SG,NOH,90.0,24.93074792
38,Avery Bradley,77,1071,25.0,us,1990,University of Texas at Austin,4,185.0,SG,BOS,81.0,23.66691015
39,Ben Gordon,56,349,32.0,gb,1983,University of Connecticut,10,187.5,SG,ORL,90.0,25.6
40,Ben McLemore,82,996,22.0,us,1993,University of Kansas,1,192.5,SG,SAC,87.75,23.68021589
42,Bernard James,16,44,30.0,us,1985,Florida State University,2,205.0,C,DAL,108.0,25.698988699999997
44,Blake Griffin,67,1469,26.0,us,1989,University of Oklahoma,4,205.0,PF,LAC,112.95,26.87685901
47,Bradley Beal,63,962,22.0,us,1993,University of Florida,2,192.5,SG,WAS,93.15,25.13745994
49,Brandon Bass,82,866,30.0,us,1985,Louisiana State University,9,200.0,PF,BOS,112.5,28.125
50,Brandon Davies,27,142,24.0,us,1991,Brigham Young University,1,205.0,PF,PHI,108.0,25.698988699999997
52,Brandon Knight,63,1070,24.0,us,1991,University of Kentucky,3,187.5,SG,PHO,85.05,24.191999999999997
53,Brandon Rush,33,30,30.0,us,1985,University of Kansas,6,195.0,SG,GSW,99.0,26.03550296
54,Brendan Haywood,22,35,36.0,us,1979,University of North Carolina,12,210.0,C,CLE,120.6,27.34693878
55,Brian Roberts,72,480,30.0,us,1985,University of Dayton,2,182.5,PG,CHA,77.85,23.37399137
56,Brook Lopez,72,1236,27.0,us,1988,Stanford University,6,210.0,C,NJN,123.75,28.06122449
